,,,,,All Type of Report (All Grades) for 01-Jan-2025 to 28-Mar-2026,,,,
Commodity Group,Commodity,Date,MSP,Arrival Quantity 01-01-2025 to 28-03-2026,Arrival Unit,Min Price 01-01-2025 to 28-03-2026,Modal Price 01-01-2025 to 28-03-2026,Max Price 01-01-2025 to 28-03-2026,Price Unit
Cereals,Kutki,13-01-2025,-,61.90,Metric Tonnes,3083.68,3103.07,3148.30,Rs./Quintal
Cereals,Maize,13-01-2025,2400.00,37574.66,Metric Tonnes,2083.11,2286.11,2401.27,Rs./Quintal
Cereals,Paddy(Basmati),13-01-2025,-,9471.80,Metric Tonnes,2630.66,2851.09,2977.83,Rs./Quintal
Cereals,Paddy(Common),13-01-2025,2369.00,113175.67,Metric Tonnes,2207.02,2331.01,2432.59,Rs./Quintal
Cereals,Ragi(Finger Millet),13-01-2025,4886.00,162.88,Metric Tonnes,2751.45,3045.62,3482.80,Rs./Quintal
Cereals,Rice,13-01-2025,-,22697.19,Metric Tonnes,2961.97,3397.84,3829.55,Rs./Quintal
Cereals,Wheat,13-01-2025,2425.00,27988.89,Metric Tonnes,2814.17,2998.65,3153.97,Rs./Quintal
Cereals,Bajra(Pearl Millet/Cumbu),14-01-2025,2775.00,665.54,Metric Tonnes,2625.70,2722.39,2789.67,Rs./Quintal
Cereals,Barley(Jau),14-01-2025,1980.00,190.50,Metric Tonnes,2214.56,2345.03,2422.37,Rs./Quintal
Cereals,Jowar(Sorghum),14-01-2025,3699.00,589.13,Metric Tonnes,2910.15,3848.33,4274.19,Rs./Quintal
Cereals,Kodo Millet(Varagu),14-01-2025,-,153.74,Metric Tonnes,2196.40,2245.27,2250.47,Rs./Quintal
Cereals,Kutki,14-01-2025,-,34.20,Metric Tonnes,3112.43,3156.70,3156.70,Rs./Quintal
Cereals,Maize,14-01-2025,2400.00,6861.86,Metric Tonnes,2149.92,2285.50,2348.68,Rs./Quintal
Cereals,Paddy(Basmati),14-01-2025,-,8397.00,Metric Tonnes,2587.89,2752.19,2855.13,Rs./Quintal
Cereals,Paddy(Common),14-01-2025,2369.00,86368.36,Metric Tonnes,2281.52,2326.97,2350.27,Rs./Quintal
Cereals,Ragi(Finger Millet),14-01-2025,4886.00,32.30,Metric Tonnes,3045.82,3083.59,3155.42,Rs./Quintal
